index,release_date,youtube_id
1,2018-10-18,uQMnqmSBruk
2,2019-05-02,x8VH8Nf5_Ik
3,2019-05-16,cYS0HMgkgZc
4,2019-06-27,JjDgHjmMNhM
5,2019-07-04,3tRaVvxmKMo
6,2019-08-23,z9utfxJc330
7,2020-03-19,7W2oku_8o5s
8,2020-03-26,_KCWSGbxnKI
9,2020-04-02,oAy9eMfbKAg
10,2020-04-09,jM59latgKqI
11,2020-04-16,hVFEPbr6Qqw
12,2020-04-23,swBoTYUNAk0
13,2020-04-30,8aA9cU-gvB0
14,2020-05-07,oksuQWOHIYg
15,2020-05-14,69GB0JSfmVo
16,2020-05-28,j2yP1G0JCWM
17,2020-06-05,gQZxoF3jHKo
18,2020-06-11,BKefqRt-D44
19,2020-06-18,mgnC5IbyBh8
20,2020-07-30,Dg8p-wzoS7s
21,2020-12-03,P3aMdrTQe1w
22,2020-12-17,4Wchw_AIe5s
23,2021-01-28,UoQnUMT17xY
24,2021-02-25,8wKEFNf3688
25,2021-03-27,bW2of9gvyh0
26,2021.04-30,A8PIc-CAz7o
27,2021-05-28,PZ9cRIcDoE4
28,2021-07-30,cdBG_UstZsc
29,2021-10-29,dgQqNRwmtgI
30,2021-11-26,3iwSAByzAAQ
31,2021-12-16,FY6i-zjf-Co
32,2022-01-07,kW9yJJF53_c
33,2022-01-13,B0_M5UI5V3U
34,2022-01-27,t6FvGwsAtq4
35,2022-02-10,uhQnL2Jt6UU
36,2022-02-24,LV7o7kzBGtE
37,2022-03-10,TCsm_e9UIrQ
38,2022-03-24,1bmTtdqo6AI
39,2022-04-07,O37HvT0Gkfw
40,2022-05-05,-zTkE1SYUmo
41,2022-05-25,_8FeioOZD5o
42,2022-06-16,wfbnGRWchnM
43,2022-07-28,hcgtNuxyFSk
44,2022-08-25,dCHc0vSoccA
45,2022-09-08,Kb6yl6tVRS8
46,2022-09-22,pDaidiqBDII
47,2022-10-20,NDrHZ-3ZreU
48,2022-11-03,M6ionq1c61c
49,2022-11-18,vzuj2RxL-d4
50,2022-12-01,tRHTO4stwyE
51,2022-12-09,9pH6KfQyGQ8
52,2023-01-12,0ZKxEIhK4ts
53,2023-01-26,IgRdDpnVJE0
54,2023-02-24,SwXlNox15ok
55,2023-03-10,DYYyA5TBrbA
56,2023-03-24,NOJ7t8HzufY
57,2023-04-14,5pA8kLGVNHk
58,2023-04-28,t_BREqjY_po
59,2023-06-09,Z1aZkvmnGL4
60,2023-06-23,ly0HRNyhW0M
61,2023-07-07,m9zldwEvNME
62,2023-07-21,EGAxgdr-D3A
63,2023-08-26,mDkI2Q0ngAc